tran_id,orig_acct,bene_acct,tx_type,base_amt,tran_timestamp,is_sar,alert_id
1,151,384,DEBIT,649.5,2021-01-01T00:00:00Z,False,-1
2,80,992,TRANSFER,582.76,2021-01-01T00:00:00Z,False,-1
3,159,340,TRANSFER,319.73,2021-01-01T00:00:00Z,False,-1
4,14,204,TRANSFER,715.38,2021-01-01T00:00:00Z,False,-1
5,97,26,CASH_OUT,763.51,2021-01-01T00:00:00Z,False,-1
6,884,900,CASH_IN,978.43,2021-01-01T00:00:00Z,False,-1
7,884,991,DEBIT,778.12,2021-01-01T00:00:00Z,False,-1
8,884,784,TRANSFER,430.7,2021-01-01T00:00:00Z,False,-1
9,170,230,TRANSFER,550.61,2021-01-01T00:00:00Z,False,-1
10,235,305,TRANSFER,359.9,2021-01-01T00:00:00Z,False,-1
11,611,385,TRANSFER,625.15,2021-01-01T00:00:00Z,False,-1
12,201,379,PAYMENT,408.24,2021-01-01T00:00:00Z,False,-1
13,539,167,TRANSFER,127.98,2021-01-01T00:00:00Z,False,-1
14,827,981,CASH_IN,707.09,2021-01-01T00:00:00Z,False,-1
15,827,837,DEBIT,782.8,2021-01-01T00:00:00Z,False,-1
16,827,995,DEPOSIT,723.58,2021-01-01T00:00:00Z,False,-1
17,558,330,CASH_IN,293.55,2021-01-01T00:00:00Z,False,-1
18,982,950,TRANSFER,736.86,2021-01-01T00:00:00Z,False,-1
19,982,952,CASH_OUT,567.44,2021-01-01T00:00:00Z,False,-1
20,982,946,CASH_OUT,374.38,2021-01-01T00:00:00Z,False,-1
21,982,59,DEPOSIT,994.68,2021-01-01T00:00:00Z,False,-1
22,982,932,DEPOSIT,545.38,2021-01-01T00:00:00Z,False,-1
23,982,239,CASH_IN,367.7,2021-01-01T00:00:00Z,False,-1
24,982,974,CASH_OUT,373.65,2021-01-01T00:00:00Z,False,-1
25,982,848,TRANSFER,684.98,2021-01-01T00:00:00Z,False,-1
26,982,897,DEPOSIT,951.22,2021-01-01T00:00:00Z,False,-1
27,191,797,TRANSFER,232.77,2021-01-01T00:00:00Z,False,-1
28,986,540,TRANSFER,729.33,2021-01-01T00:00:00Z,False,-1
29,986,985,PAYMENT,426.86,2021-01-01T00:00:00Z,False,-1
30,986,339,TRANSFER,256.02,2021-01-01T00:00:00Z,False,-1
31,986,331,PAYMENT,250.54,2021-01-01T00:00:00Z,False,-1
32,986,393,TRANSFER,452.13,2021-01-01T00:00:00Z,False,-1
33,986,912,CASH_IN,693.76,2021-01-01T00:00:00Z,False,-1
34,986,802,CASH_OUT,459.33,2021-01-01T00:00:00Z,False,-1
35,986,650,DEPOSIT,818.79,2021-01-01T00:00:00Z,False,-1
36,986,899,TRANSFER,447.03,2021-01-01T00:00:00Z,False,-1
37,986,890,TRANSFER,174.57,2021-01-01T00:00:00Z,False,-1
38,986,988,TRANSFER,811.17,2021-01-01T00:00:00Z,False,-1
39,981,584,CASH_OUT,261.47,2021-01-01T00:00:00Z,False,-1
40,981,295,CASH_IN,919.31,2021-01-01T00:00:00Z,False,-1
41,981,966,TRANSFER,541.46,2021-01-01T00:00:00Z,False,-1
42,981,544,TRANSFER,766.63,2021-01-01T00:00:00Z,False,-1
43,981,312,DEPOSIT,855.7,2021-01-01T00:00:00Z,False,-1
44,981,761,PAYMENT,208.5,2021-01-01T00:00:00Z,False,-1
45,981,442,CASH_OUT,347.68,2021-01-01T00:00:00Z,False,-1
46,981,929,TRANSFER,186.92,2021-01-01T00:00:00Z,False,-1
47,981,996,CASH_OUT,233.82,2021-01-01T00:00:00Z,False,-1
48,981,965,CASH_IN,405.78,2021-01-01T00:00:00Z,False,-1
49,100,270,TRANSFER,267.79,2021-01-01T00:00:00Z,False,-1
50,316,352,DEPOSIT,498.3,2021-01-01T00:00:00Z,False,-1
51,563,274,CASH_IN,406.91,2021-01-01T00:00:00Z,False,-1
52,734,908,PAYMENT,753.56,2021-01-01T00:00:00Z,False,-1
53,756,969,PAYMENT,847.64,2021-01-01T00:00:00Z,False,-1
54,206,205,TRANSFER,466.74,2021-01-01T00:00:00Z,False,-1
55,98,844,PAYMENT,129.81,2021-01-01T00:00:00Z,False,-1
56,828,920,TRANSFER,695.05,2021-01-01T00:00:00Z,False,-1
57,828,610,CASH_OUT,624.72,2021-01-01T00:00:00Z,False,-1
58,828,694,CASH_IN,331.49,2021-01-01T00:00:00Z,False,-1
59,661,266,PAYMENT,938.65,2021-01-01T00:00:00Z,False,-1
60,426,399,TRANSFER,880.43,2021-01-01T00:00:00Z,False,-1
61,530,331,CASH_IN,853.2,2021-01-01T00:00:00Z,False,-1
62,745,528,TRANSFER,122.86,2021-01-01T00:00:00Z,False,-1
63,898,982,DEBIT,685.97,2021-01-01T00:00:00Z,False,-1
64,898,899,PAYMENT,653.21,2021-01-01T00:00:00Z,False,-1
65,898,238,CASH_OUT,792.64,2021-01-01T00:00:00Z,False,-1
66,898,994,PAYMENT,278.12,2021-01-01T00:00:00Z,False,-1
67,60,360,CASH_IN,615.9,2021-01-01T00:00:00Z,False,-1
68,573,238,CASH_IN,115.67,2021-01-01T00:00:00Z,False,-1
69,519,180,CASH_IN,509.14,2021-01-01T00:00:00Z,False,-1
70,475,444,CASH_IN,547.03,2021-01-01T00:00:00Z,False,-1
71,118,993,TRANSFER,115.91,2021-01-01T00:00:00Z,False,-1
72,524,200,PAYMENT,202.75,2021-01-01T00:00:00Z,False,-1
73,723,951,TRANSFER,474.15,2021-01-01T00:00:00Z,False,-1
74,690,140,DEPOSIT,708.17,2021-01-01T00:00:00Z,False,-1
75,616,467,TRANSFER,659.73,2021-01-01T00:00:00Z,False,-1
76,721,979,TRANSFER,172.95,2021-01-01T00:00:00Z,False,-1
77,595,362,TRANSFER,916.23,2021-01-01T00:00:00Z,False,-1
78,116,88,TRANSFER,125.39,2021-01-01T00:00:00Z,False,-1
79,134,393,PAYMENT,239.91,2021-01-01T00:00:00Z,False,-1
80,795,718,CASH_OUT,210.88,2021-01-01T00:00:00Z,False,-1
81,662,83,TRANSFER,381.13,2021-01-01T00:00:00Z,False,-1
82,707,960,CASH_OUT,961.98,2021-01-01T00:00:00Z,False,-1
83,402,214,TRANSFER,601.19,2021-01-01T00:00:00Z,False,-1
84,515,605,TRANSFER,130.61,2021-01-01T00:00:00Z,True,1
